"DepartamentoCodigo","Departamento","MunicipioCodigo","Municipio","Año","IRCA","Nivel de riesgo","IRCAurbano","Nivel de riesgo urbano","IRCArural","Nivel de riesgo rural","pH","Turbiedad","Color","Coliformes_Totales","Coliformes_Fecales"
"73","Tolima","73622","Roncesvalles","2009","66.1","Riesgo alto","ND","ND","ND","ND","7.01","4.43","3.1","700","66.5"
"73","Tolima","73622","Roncesvalles","2010","69.3","Riesgo alto","ND","ND","ND","ND","7.41","7.42","12.8","442.9","191.9"
"05","Antioquia","05001","Medellín","2007","2.3","Sin riesgo","0.2","Sin riesgo","3.9","Sin riesgo","7","9.33","2.5","143","101.6"
"05","Antioquia","05001","Medellín","2008","1.8","Sin riesgo","0.1","Sin riesgo","4.0","Sin riesgo","7.1","0.55","24.1","59","63.8"
"05","Antioquia","05001","Medellín","2009","1.3","Sin riesgo","0.4","Sin riesgo","2.7","Sin riesgo","6.03","0.1","27.3","45","191.3"
"05","Antioquia","05001","Medellín","2010","1.4","Sin riesgo","0.5","Sin riesgo","2.6","Sin riesgo","6.25","2.88","46","358.9","0.1"
"05","Antioquia","05001","Medellín","2011","1.9","Sin riesgo","0.5","Sin riesgo","3.6","Sin riesgo","6.98","1.92","46.8","911.1","386.7"
"05","Antioquia","05001","Medellín","2012","0.4","Sin riesgo","0.0","Sin riesgo","0.8","Sin riesgo","8.15","5.69","20","298.2","95.9"
"05","Antioquia","05001","Medellín","2013","0.0","Sin riesgo","ND","ND","0.0","Sin riesgo","6.92","2.98","25.2","609.1","394.4"
"05","Antioquia","05001","Medellín","2014","1.8","Sin riesgo","1.0","Sin riesgo","2.9","Sin riesgo","7.73","7.57","3.1","772.4","381.2"
"05","Antioquia","05001","Medellín","2015","1.4","Sin riesgo","0.5","Sin riesgo","3.0","Sin riesgo","8.12","4.42","5","627","147.8"
"05","Antioquia","05001","Medellín","2016","2.4","Sin riesgo","0.7","Sin riesgo","4.5","Sin riesgo","7.98","0.32","46.6","583.3","268.7"
"05","Antioquia","05001","Medellín","2017","0.9","Sin riesgo","0.4","Sin riesgo","1.8","Sin riesgo","6.82","6.91","8.1","570.8","143"
"05","Antioquia","05001","Medellín","2018","0.7","Sin riesgo","0.5","Sin riesgo","0.9","Sin riesgo","7.95","7.57","39.6","18.4","409.2"
"05","Antioquia","05001","Medellín","2019","2.1","Sin riesgo","1.7","Sin riesgo","2.7","Sin riesgo","7.7","8.33","13.2","949.5","59.8"
"05","Antioquia","05001","Medellín","2020","2.2","Sin riesgo","1.3","Sin riesgo","3.3","Sin riesgo","7.87","4.28","4.4","946.2","61.7"
"05","Antioquia","05001","Medellín","2021","2.5","Sin riesgo","1.3","Sin riesgo","4.2","Sin riesgo","6.33","1.7","6","427.1","317.7"
"05","Antioquia","05001","Medellín","2022","2.9","Sin riesgo","1.9","Sin riesgo","6.8","Riesgo bajo","7.48","9.04","15.4","754.6","386.8"
"05","Antioquia","05001","Medellín","2023","1.5","Sin riesgo","1.1","Sin riesgo","2.9","Sin riesgo","8.03","4.47","42.9","398.3","173.7"
"05","Antioquia","05002","Abejorral","2007","6.4","Riesgo bajo","6.4","Riesgo bajo","ND","ND","7.88","0.28","6.2","725.4","496.1"
"05","Antioquia","05002","Abejorral","2008","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","8.19","1.23","22.7","575.4","81.5"
"05","Antioquia","05002","Abejorral","2009","1.6","Sin riesgo","1.6","Sin riesgo","ND","ND","6.43","5.65","46.1","977.7","291.7"
"05","Antioquia","05002","Abejorral","2010","25.2","Riesgo medio","8.6","Riesgo bajo","63.0","Riesgo alto","6.42","3.53","47.3","148.3","36.1"
"05","Antioquia","05002","Abejorral","2011","16.2","Riesgo medio","3.1","Sin riesgo","52.1","Riesgo alto","7.46","6.08","29.8","850.7","170"
"05","Antioquia","05002","Abejorral","2012","1.2","Sin riesgo","1.2","Sin riesgo","ND","ND","6.98","0.6","33.2","938.9","129.5"
"05","Antioquia","05002","Abejorral","2013","2.0","Sin riesgo","2.0","Sin riesgo","ND","ND","7.44","8.71","3.5","933.6","360.7"
"05","Antioquia","05002","Abejorral","2014","1.0","Sin riesgo","1.0","Sin riesgo","ND","ND","7.76","6.4","48.5","961.3","232.5"
"05","Antioquia","05002","Abejorral","2015","0.8","Sin riesgo","0.8","Sin riesgo","ND","ND","6.66","5.77","35.5","308.3","472.6"
"05","Antioquia","05002","Abejorral","2016","0.4","Sin riesgo","0.4","Sin riesgo","ND","ND","6.58","3.91","45.3","671","295.8"
"05","Antioquia","05002","Abejorral","2017","2.5","Sin riesgo","2.5","Sin riesgo","ND","ND","7.84","6.66","10.1","199","72.4"
"05","Antioquia","05002","Abejorral","2018","0.7","Sin riesgo","0.7","Sin riesgo","ND","ND","6.07","5.67","36.7","20.7","53.6"
"05","Antioquia","05002","Abejorral","2019","0.4","Sin riesgo","0.4","Sin riesgo","ND","ND","8.12","1.88","8","927.5","150.7"
"05","Antioquia","05002","Abejorral","2020","0.5","Sin riesgo","0.5","Sin riesgo","ND","ND","7.08","9.01","19.5","210.7","457.2"
"05","Antioquia","05002","Abejorral","2021","1.7","Sin riesgo","1.7","Sin riesgo","ND","ND","6.92","8.99","35.2","756.2","61.8"
"05","Antioquia","05002","Abejorral","2022","0.1","Sin riesgo","0.1","Sin riesgo","ND","ND","8.2","7.96","40.4","504.4","14.3"
"05","Antioquia","05002","Abejorral","2023","0.5","Sin riesgo","0.5","Sin riesgo","ND","ND","7.87","1.14","29.6","238.8","361.4"
"05","Antioquia","05004","Abriaquí","2007","15.2","Riesgo medio","15.2","Riesgo medio","ND","ND","7.35","3.44","23.8","170","417.1"
"05","Antioquia","05004","Abriaquí","2008","5.1","Riesgo bajo","5.1","Riesgo bajo","ND","ND","6.04","0.81","49.1","25.7","82.1"
"05","Antioquia","05004","Abriaquí","2009","1.5","Sin riesgo","1.5","Sin riesgo","ND","ND","8.46","7.1","33.1","122.2","457.6"
"05","Antioquia","05004","Abriaquí","2010","16.5","Riesgo medio","1.4","Sin riesgo","47.7","Riesgo alto","6.33","2.65","30.4","922.6","195.7"
"05","Antioquia","05004","Abriaquí","2011","19.4","Riesgo medio","2.9","Sin riesgo","36.5","Riesgo alto","6.39","8.69","37","277.7","140"
"05","Antioquia","05004","Abriaquí","2012","7.2","Riesgo bajo","7.2","Riesgo bajo","ND","ND","7.13","8.29","13.2","934","442.6"
"05","Antioquia","05004","Abriaquí","2013","5.8","Riesgo bajo","5.8","Riesgo bajo","ND","ND","7.35","6.88","33.2","694.1","259.5"
"05","Antioquia","05004","Abriaquí","2014","6.1","Riesgo bajo","6.1","Riesgo bajo","ND","ND","7.61","4.9","38.9","1.7","80.1"
"05","Antioquia","05004","Abriaquí","2015","4.6","Sin riesgo","4.6","Sin riesgo","ND","ND","7.39","5.08","3.3","712.3","244.3"
"05","Antioquia","05004","Abriaquí","2016","10.6","Riesgo bajo","10.6","Riesgo bajo","ND","ND","7.34","1.39","0","670.4","34.5"
"05","Antioquia","05004","Abriaquí","2017","1.3","Sin riesgo","1.3","Sin riesgo","ND","ND","7.27","8.73","13","835","27"
"05","Antioquia","05004","Abriaquí","2018","4.4","Sin riesgo","4.4","Sin riesgo","ND","ND","6.69","3.78","9.8","560.3","158.1"
"05","Antioquia","05004","Abriaquí","2019","3.4","Sin riesgo","3.4","Sin riesgo","ND","ND","8.21","6.83","32.9","615.7","189"
"05","Antioquia","05004","Abriaquí","2020","1.8","Sin riesgo","1.8","Sin riesgo","ND","ND","7.88","0.88","44","321.3","184.8"
"05","Antioquia","05004","Abriaquí","2021","3.0","Sin riesgo","3.0","Sin riesgo","ND","ND","7.94","6.02","27.8","561.4","484.3"
"05","Antioquia","05004","Abriaquí","2022","6.5","Riesgo bajo","6.5","Riesgo bajo","ND","ND","7.91","5.94","36.9","298.2","457.5"
"05","Antioquia","05004","Abriaquí","2023","10.2","Riesgo bajo","10.2","Riesgo bajo","ND","ND","8.32","2.51","40.8","174","289.2"
"05","Antioquia","05021","Alejandría","2007","13.8","Riesgo bajo","13.8","Riesgo bajo","ND","ND","6.09","0.74","6.7","691.2","199.9"
"05","Antioquia","05021","Alejandría","2008","4.4","Sin riesgo","4.4","Sin riesgo","ND","ND","7.41","3.73","31.3","172.2","206.5"
"05","Antioquia","05021","Alejandría","2009","2.0","Sin riesgo","2.0","Sin riesgo","ND","ND","7.29","5.79","39.1","196","173.6"
"05","Antioquia","05021","Alejandría","2010","2.9","Sin riesgo","2.9","Sin riesgo","ND","ND","6.04","7.94","19.3","537.6","326.6"
"05","Antioquia","05021","Alejandría","2011","3.9","Sin riesgo","3.9","Sin riesgo","ND","ND","6.89","1.72","36.6","584.8","429.1"
"05","Antioquia","05021","Alejandría","2012","19.1","Riesgo medio","19.1","Riesgo medio","ND","ND","6.46","8.78","17.3","44.7","91.3"
"05","Antioquia","05021","Alejandría","2013","9.1","Riesgo bajo","9.1","Riesgo bajo","ND","ND","8.11","6.08","41.9","796.8","452.9"
"05","Antioquia","05021","Alejandría","2014","8.9","Riesgo bajo","8.9","Riesgo bajo","ND","ND","7.02","2.98","18.8","955.7","97.3"
"05","Antioquia","05021","Alejandría","2015","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","7.65","3.28","49.3","694.4","99.9"
"05","Antioquia","05021","Alejandría","2016","2.7","Sin riesgo","2.7","Sin riesgo","ND","ND","6.82","3.74","2","933.9","196.9"
"05","Antioquia","05021","Alejandría","2017","1.0","Sin riesgo","1.1","Sin riesgo","ND","ND","8.01","2.99","47.9","753.1","440"
"05","Antioquia","05021","Alejandría","2018","2.5","Sin riesgo","2.5","Sin riesgo","ND","ND","7.5","8.48","23.5","979.8","340.3"
"05","Antioquia","05021","Alejandría","2019","0.1","Sin riesgo","0.1","Sin riesgo","ND","ND","6.96","1.88","13.5","732.7","117.2"
"05","Antioquia","05021","Alejandría","2020","0.8","Sin riesgo","0.8","Sin riesgo","ND","ND","7.36","6.66","9.2","95.5","225.3"
"05","Antioquia","05021","Alejandría","2021","1.1","Sin riesgo","1.1","Sin riesgo","ND","ND","7.05","9.53","29.3","322.1","357.8"
"05","Antioquia","05021","Alejandría","2022","1.5","Sin riesgo","1.5","Sin riesgo","ND","ND","6.85","2.32","18","60.8","339.8"
"05","Antioquia","05021","Alejandría","2023","0.8","Sin riesgo","0.8","Sin riesgo","ND","ND","7.11","3.24","7.9","60.2","135.7"
"05","Antioquia","05030","Amagá","2007","3.6","Sin riesgo","3.6","Sin riesgo","ND","ND","6.97","9.13","15.3","708","103"
"05","Antioquia","05030","Amagá","2008","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","6.51","5.05","21","912.6","47.8"
"05","Antioquia","05030","Amagá","2009","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","7.71","2.54","37.2","733.9","402.4"
"05","Antioquia","05030","Amagá","2010","35.7","Riesgo alto","4.2","Sin riesgo","59.9","Riesgo alto","6.79","1.72","11.9","735.3","18.9"
"05","Antioquia","05030","Amagá","2011","42.1","Riesgo alto","18.4","Riesgo medio","85.9","Inviable sanitariamente","8.43","3.37","26.3","515.4","325.7"
"05","Antioquia","05030","Amagá","2012","4.3","Sin riesgo","4.3","Sin riesgo","ND","ND","6.75","8.9","22.6","771.3","394.2"
"05","Antioquia","05030","Amagá","2013","1.6","Sin riesgo","1.6","Sin riesgo","ND","ND","7.56","8.51","14.1","599.3","260.6"
"05","Antioquia","05030","Amagá","2014","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","7.32","2.27","2.1","87.5","442.9"
"05","Antioquia","05030","Amagá","2015","4.0","Sin riesgo","4.0","Sin riesgo","ND","ND","8.29","9.73","44.3","534.9","239.3"
"05","Antioquia","05030","Amagá","2016","0.1","Sin riesgo","0.1","Sin riesgo","ND","ND","7.57","9.25","41.8","454.2","150.4"
"05","Antioquia","05030","Amagá","2017","1.7","Sin riesgo","1.4","Sin riesgo","ND","ND","7.93","0.41","6.4","617.7","369.7"
"05","Antioquia","05030","Amagá","2018","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","8.04","0.51","30.1","174.5","331"
"05","Antioquia","05030","Amagá","2019","3.8","Sin riesgo","1.7","Sin riesgo","80.7","Inviable sanitariamente","6.68","0.03","40.2","167.2","25.7"
"05","Antioquia","05030","Amagá","2020","38.6","Riesgo alto","1.8","Sin riesgo","57.6","Riesgo alto","6.23","1.14","43.1","565.8","31.7"
"05","Antioquia","05030","Amagá","2021","49.9","Riesgo alto","3.5","Sin riesgo","66.8","Riesgo alto","6.79","8.4","6","52.3","253"
"05","Antioquia","05030","Amagá","2022","47.7","Riesgo alto","1.9","Sin riesgo","64.9","Riesgo alto","6.13","9.72","15.3","19.6","304.1"
"05","Antioquia","05030","Amagá","2023","47.5","Riesgo alto","0.8","Sin riesgo","61.9","Riesgo alto","6.49","5.29","34","128.7","65.3"
"05","Antioquia","05031","Amalfi","2007","2.2","Sin riesgo","2.2","Sin riesgo","ND","ND","6.63","2.71","11","644.2","43.9"
"05","Antioquia","05031","Amalfi","2008","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","8.34","6.39","39.9","662.2","255.2"
"05","Antioquia","05031","Amalfi","2009","0.7","Sin riesgo","0.7","Sin riesgo","ND","ND","7.84","7.09","2.9","764.9","179.1"
"05","Antioquia","05031","Amalfi","2010","1.1","Sin riesgo","1.1","Sin riesgo","ND","ND","8.4","9.76","38.6","460.7","250.1"
"05","Antioquia","05031","Amalfi","2011","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","8.29","7.09","26.4","521.3","261.3"
"05","Antioquia","05031","Amalfi","2012","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","7.19","5.57","33.2","113","270.2"
"05","Antioquia","05031","Amalfi","2013","4.2","Sin riesgo","4.2","Sin riesgo","ND","ND","6.01","2.09","42.5","812.9","477"
"05","Antioquia","05031","Amalfi","2014","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","7.34","3.56","12","781.3","55.4"
"05","Antioquia","05031","Amalfi","2015","1.1","Sin riesgo","1.1","Sin riesgo","ND","ND","7.92","4.18","14.1","157.5","382.5"
"05","Antioquia","05031","Amalfi","2016","0.1","Sin riesgo","0.1","Sin riesgo","ND","ND","6.35","4.13","9.8","753.2","77.8"
"05","Antioquia","05031","Amalfi","2017","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","8.4","6.38","47.2","671.4","133.9"
"05","Antioquia","05031","Amalfi","2018","0.7","Sin riesgo","0.7","Sin riesgo","ND","ND","7.26","4.77","45.1","107.3","236.1"
"05","Antioquia","05031","Amalfi","2019","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","7.19","9.19","32.5","857.3","294.6"
"05","Antioquia","05031","Amalfi","2020","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","8.38","7.92","21.9","603.3","478.1"
"05","Antioquia","05031","Amalfi","2021","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","6.48","9.39","22.7","868.2","404.6"
"05","Antioquia","05031","Amalfi","2022","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","6.23","9.76","41.1","25.5","462"
"05","Antioquia","05031","Amalfi","2023","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","8.48","6.74","34.1","569.2","226.7"
"05","Antioquia","05034","Andes","2007","2.3","Sin riesgo","2.3","Sin riesgo","ND","ND","7.49","8.25","34.1","388.5","18.3"
"05","Antioquia","05034","Andes","2008","0.7","Sin riesgo","0.7","Sin riesgo","ND","ND","7.84","7.13","33.7","384.7","382.7"
"05","Antioquia","05034","Andes","2009","2.6","Sin riesgo","2.6","Sin riesgo","ND","ND","6.5","5.96","17.3","887.9","21.7"
"05","Antioquia","05034","Andes","2010","20.2","Riesgo medio","2.8","Sin riesgo","87.8","Inviable sanitariamente","7.37","8.59","18.2","54","14.3"
"05","Antioquia","05034","Andes","2011","22.7","Riesgo medio","1.6","Sin riesgo","61.9","Riesgo alto","6.68","8.1","1.1","250","491.8"
"05","Antioquia","05034","Andes","2012","4.3","Sin riesgo","4.3","Sin riesgo","ND","ND","6.83","6.48","14.7","305.8","465.8"
"05","Antioquia","05034","Andes","2013","4.1","Sin riesgo","4.1","Sin riesgo","ND","ND","7.95","9.95","10","154.7","497.3"
"05","Antioquia","05034","Andes","2014","11.2","Riesgo bajo","0.2","Sin riesgo","91.4","Inviable sanitariamente","6.73","6.51","26.8","293.6","434.3"
"05","Antioquia","05034","Andes","2015","4.8","Sin riesgo","4.8","Sin riesgo","ND","ND","6.8","6.99","15.9","676.7","407.6"
"05","Antioquia","05034","Andes","2016","1.7","Sin riesgo","ND","ND","ND","ND","8.27","6.44","34.8","861.5","439.6"
"05","Antioquia","05034","Andes","2017","1.9","Sin riesgo","ND","ND","ND","ND","7.84","9.83","0.8","552.9","197.6"
"05","Antioquia","05034","Andes","2018","3.0","Sin riesgo","3.0","Sin riesgo","ND","ND","6.66","6.59","22.2","189.1","442.5"
"05","Antioquia","05034","Andes","2019","2.4","Sin riesgo","2.4","Sin riesgo","ND","ND","7.19","0.16","36.5","131.2","299.5"
"05","Antioquia","05034","Andes","2020","1.1","Sin riesgo","0.5","Sin riesgo","4.2","Sin riesgo","7.76","4.48","12.8","327.4","246.7"
"05","Antioquia","05034","Andes","2021","1.9","Sin riesgo","2.0","Sin riesgo","0.0","Sin riesgo","7.21","4.98","29.7","498.3","279.4"
"05","Antioquia","05034","Andes","2022","0.4","Sin riesgo","0.3","Sin riesgo","1.4","Sin riesgo","8.2","9.31","16.1","189.8","172.8"
"05","Antioquia","05034","Andes","2023","0.3","Sin riesgo","0.4","Sin riesgo","0.0","Sin riesgo","6.63","2.32","5.7","457.1","443"
"05","Antioquia","05036","Angelópolis","2007","15.7","Riesgo medio","15.7","Riesgo medio","ND","ND","7.13","4.59","6.9","974.9","399.3"
"05","Antioquia","05036","Angelópolis","2008","2.2","Sin riesgo","2.2","Sin riesgo","ND","ND","6.05","9.54","4.9","327.3","110"
"05","Antioquia","05036","Angelópolis","2009","1.2","Sin riesgo","1.2","Sin riesgo","ND","ND","6.88","5.53","9.4","248.5","211.6"
"05","Antioquia","05036","Angelópolis","2010","16.5","Riesgo medio","5.6","Riesgo bajo","58.0","Riesgo alto","6.08","0.79","19.6","402","218.9"
"05","Antioquia","05036","Angelópolis","2011","60.1","Riesgo alto","23.3","Riesgo medio","86.9","Inviable sanitariamente","6.92","2.52","36.2","545.7","495.8"
"05","Antioquia","05036","Angelópolis","2012","32.7","Riesgo medio","16.7","Riesgo medio","68.6","Riesgo alto","7.94","2.46","38","713","175.2"
"05","Antioquia","05036","Angelópolis","2013","4.5","Sin riesgo","4.5","Sin riesgo","ND","ND","7.26","0.33","22.3","734.1","137.2"
"05","Antioquia","05036","Angelópolis","2014","0.9","Sin riesgo","0.9","Sin riesgo","ND","ND","6.03","7.66","33.2","353.1","372.7"
"05","Antioquia","05036","Angelópolis","2015","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","6.43","4.96","14.3","673.7","151.1"
"05","Antioquia","05036","Angelópolis","2016","0.8","Sin riesgo","0.8","Sin riesgo","ND","ND","7.94","1.03","11.7","724.4","222"
"05","Antioquia","05036","Angelópolis","2017","2.1","Sin riesgo","2.1","Sin riesgo","ND","ND","7.72","8.64","32.7","504.6","363.9"
"05","Antioquia","05036","Angelópolis","2018","2.5","Sin riesgo","2.5","Sin riesgo","ND","ND","7.81","0","8.9","334.2","188.8"
"05","Antioquia","05036","Angelópolis","2019","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","8.4","8.2","38.9","387.7","417.4"
"05","Antioquia","05036","Angelópolis","2020","19.5","Riesgo medio","0.5","Sin riesgo","97.7","Inviable sanitariamente","7.01","2.46","44.6","442.9","187.1"
"05","Antioquia","05036","Angelópolis","2021","28.3","Riesgo medio","3.3","Sin riesgo","82.8","Inviable sanitariamente","8.05","7.38","22.7","92.7","282.7"
"05","Antioquia","05036","Angelópolis","2022","28.1","Riesgo medio","0.0","Sin riesgo","78.7","Riesgo alto","8.49","7.91","11.1","892.6","222.5"
"05","Antioquia","05036","Angelópolis","2023","23.2","Riesgo medio","0.7","Sin riesgo","65.8","Riesgo alto","7.98","8.44","31.8","289","432.4"
"05","Antioquia","05038","Angostura","2007","3.0","Sin riesgo","3.0","Sin riesgo","ND","ND","7.38","6.87","27.3","815.2","433.1"
"05","Antioquia","05038","Angostura","2008","17.1","Riesgo medio","17.1","Riesgo medio","ND","ND","6.46","8.34","12.7","986.6","6.7"
"05","Antioquia","05038","Angostura","2009","6.6","Riesgo bajo","6.6","Riesgo bajo","ND","ND","7.54","2.04","20.3","541.7","144.3"
"05","Antioquia","05038","Angostura","2010","1.6","Sin riesgo","1.6","Sin riesgo","ND","ND","6.49","1.93","0.2","221.5","135.7"
"05","Antioquia","05038","Angostura","2011","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","7.55","6.36","16.6","415.2","112.3"
"05","Antioquia","05038","Angostura","2012","2.3","Sin riesgo","2.3","Sin riesgo","ND","ND","8.27","0.56","2.7","850.7","497.4"
"05","Antioquia","05038","Angostura","2013","3.0","Sin riesgo","3.0","Sin riesgo","ND","ND","7.94","2.76","2.1","711","295.1"
"05","Antioquia","05038","Angostura","2014","0.9","Sin riesgo","0.9","Sin riesgo","ND","ND","6.56","7.76","18.8","543.7","149.2"
"05","Antioquia","05038","Angostura","2015","0.9","Sin riesgo","0.9","Sin riesgo","ND","ND","8.23","9.48","36.6","289.7","233.2"
"05","Antioquia","05038","Angostura","2016","0.1","Sin riesgo","0.1","Sin riesgo","ND","ND","6.91","2.3","12.7","271.2","210.5"
"05","Antioquia","05038","Angostura","2017","0.1","Sin riesgo","0.1","Sin riesgo","ND","ND","7.18","7.9","30","849","245"
"05","Antioquia","05038","Angostura","2018","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","7.19","0.08","26.1","429.2","135.7"
"05","Antioquia","05038","Angostura","2019","2.9","Sin riesgo","0.1","Sin riesgo","12.0","Riesgo bajo","8.24","4.38","6.8","708.8","354.4"
"05","Antioquia","05038","Angostura","2020","3.0","Sin riesgo","0.0","Sin riesgo","10.0","Riesgo bajo","6.86","9.41","6","825.4","440.1"
"05","Antioquia","05038","Angostura","2021","14.0","Riesgo bajo","4.2","Sin riesgo","29.9","Riesgo medio","8.3","4.75","35.2","404.3","210.7"
"05","Antioquia","05038","Angostura","2022","10.2","Riesgo bajo","0.7","Sin riesgo","27.7","Riesgo medio","7.42","4.56","9.7","673.2","148.8"
"05","Antioquia","05038","Angostura","2023","12.6","Riesgo bajo","0.0","Sin riesgo","26.4","Riesgo medio","7.98","2.02","45.8","918.7","13.6"
"05","Antioquia","05040","Anorí","2007","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","6.41","9.18","35.7","922.1","146.9"
"05","Antioquia","05040","Anorí","2008","2.7","Sin riesgo","2.7","Sin riesgo","ND","ND","6.27","6.47","10.1","710.2","210.4"
"05","Antioquia","05040","Anorí","2009","2.8","Sin riesgo","2.8","Sin riesgo","ND","ND","7.42","6.71","32","274.7","32.4"
"05","Antioquia","05040","Anorí","2010","1.6","Sin riesgo","1.6","Sin riesgo","ND","ND","7.08","2.85","12","499.8","99.4"
"05","Antioquia","05040","Anorí","2011","7.4","Riesgo bajo","3.3","Sin riesgo","55.8","Riesgo alto","7.9","5.84","42.9","229.6","206.4"
"05","Antioquia","05040","Anorí","2012","1.2","Sin riesgo","1.2","Sin riesgo","ND","ND","8.31","1.83","37.9","386.9","384.7"
"05","Antioquia","05040","Anorí","2013","5.7","Riesgo bajo","5.7","Riesgo bajo","ND","ND","7.57","3","31.2","784.6","123.9"
